,,,,Submit new DC Emoji here!,,,,,,
,Emoji name,,ID#,"Don't edit, add digital ID to column C",UUID,,,,,
"""\uD83D\uDC5E""",mansshoe,👞,825479,,http://digitalcollections.nypl.org/items/510d47e1-32be-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDC67""",girl,👧,5164416,,http://digitalcollections.nypl.org/items/37013680-2289-0132-5553-58d385a7bbd0,,,,,
"""\uD83D\uDC6A""",family,👪,1216606,,http://digitalcollections.nypl.org/items/510d47df-1f42-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDC6B""",manandwomanholdinghands,👫,5316582,,http://digitalcollections.nypl.org/items/286a7aa0-024b-0133-d968-58d385a7bbd0,,,,,
"""\uD83D\uDC71""",personwithblondhair,👱,psnypl_the_4332,,http://digitalcollections.nypl.org/items/510d47e4-06ae-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDC72""",manwithguapimao,👲,825299,,http://digitalcollections.nypl.org/items/510d47e1-20da-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDC79""",japaneseogre,👹,1690257,,http://digitalcollections.nypl.org/items/5e66b3e8-72b3-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDC9F""",heartdecoration,💟,1151243,,http://digitalcollections.nypl.org/items/510d47dd-e567-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDCAE""",whiteflower,💮,1402257,,http://digitalcollections.nypl.org/items/510d47e1-cae3-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDCD6""",openbook,📖,1105632,,http://digitalcollections.nypl.org/items/510d47da-4715-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDD24""",inputsymbolforlatinletters,🔤,3967813,,http://digitalcollections.nypl.org/items/b0d65bdd-789d-7d0a-e040-e00a18065084,,,,,
"""\uD83D\uDD8C""",lowerleftpaintbrush,🖌,1643186,,http://digitalcollections.nypl.org/items/510d47e4-7ab5-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDDD1""",wastebasket,🗑,1670801,,http://digitalcollections.nypl.org/items/5e66b3e8-70af-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDDD2""",spiralnotepad,🗒,5134536,,http://digitalcollections.nypl.org/items/28ba45d0-ba67-0130-4c75-58d385a7b928,,,,,
"""\uD83D\uDDD3""",spiralcalendarpad,🗓,1605949,,http://digitalcollections.nypl.org/items/510d47e3-afbc-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDDDD""",oldkey,🗝,1579762,,http://digitalcollections.nypl.org/items/510d47e3-2549-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDDE1""",daggerknife,🗡,1596601,,http://digitalcollections.nypl.org/items/510d47e3-8fe7-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDDF3""",ballotboxwithballot,🗳,1653619,,http://digitalcollections.nypl.org/items/5e66b3e8-80cd-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDE0C""",relievedface,😌,5222310,,http://digitalcollections.nypl.org/items/b55236e0-a0f7-0132-a8de-58d385a7bbd0,,,,,
"""\uD83D\uDE10""",neutralface,😐,,,http://digitalcollections.nypl.org/items/510d47e2-f72f-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE10""",neutralface,😐,,,http://digitalcollections.nypl.org/items/510d47e2-f72f-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE11""",expressionlessface,😑,,,http://digitalcollections.nypl.org/items/aa16d2ae-7561-3443-e040-e00a18067692,,,,,
"""\uD83D\uDE13""",facewithcoldsweat,😓,5190695,,http://digitalcollections.nypl.org/items/6762c9d0-93fd-0130-ee5a-58d385a7b928,,,,,
"""\uD83D\uDE14""",pensiveface,😔,,,http://digitalcollections.nypl.org/items/510d47e3-7253-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDE15""",confusedface,😕,3925688,,http://digitalcollections.nypl.org/items/aa16d2ae-756b-3443-e040-e00a18067692,,,,,
